relative_path,filename,extension,size_mb,folder_depth,parent_folder,suspected_placeholder
Алгоритмы/Общие вопросы/First Course in Algo... by Uehara  Ryuhei.epub,First Course in Algo... by Uehara  Ryuhei.epub,.epub,9.69,2,Общие вопросы,no
Алгоритмы/Общие вопросы/grokaem-algoritmy.pdf,grokaem-algoritmy.pdf,.pdf,69.38,2,Общие вопросы,no
Алгоритмы/Общие вопросы/Parallel Algorithm.pdf,Parallel Algorithm.pdf,.pdf,19.21,2,Общие вопросы,no
Алгоритмы/Общие вопросы/Pearls of Algorithm Engineering.pdf,Pearls of Algorithm Engineering.pdf,.pdf,23.98,2,Общие вопросы,no
Алгоритмы/Общие вопросы/The_Algorithm_Design_Manual_Third_Edition_2020_Steven_S_Skiena.pdf,The_Algorithm_Design_Manual_Third_Edition_2020_Steven_S_Skiena.pdf,.pdf,9.92,2,Общие вопросы,no
Алгоритмы/Общие вопросы/Tomas_Kh_Kormen_-_Algoritmy_Vvodny_kurs_-_201.djvu,Tomas_Kh_Kormen_-_Algoritmy_Vvodny_kurs_-_201.djvu,.djvu,6.75,2,Общие вопросы,no
"Алгоритмы/Общие вопросы/Алгоритмические_головоломки_2019_Левитин,_Левитина.pdf","Алгоритмические_головоломки_2019_Левитин,_Левитина.pdf",.pdf,3.63,2,Общие вопросы,no
Алгоритмы/Общие вопросы/Алгоритмические_трюки_для_программистов 2014.pdf,Алгоритмические_трюки_для_программистов 2014.pdf,.pdf,14.01,2,Общие вопросы,no
Алгоритмы/Общие вопросы/Алгоритмы - вводный курс 2020.pdf,Алгоритмы - вводный курс 2020.pdf,.pdf,13.97,2,Общие вопросы,no
Алгоритмы/Общие вопросы/Алгоритмы - разработка и применение - 2016.pdf,Алгоритмы - разработка и применение - 2016.pdf,.pdf,11.54,2,Общие вопросы,no
